id,name,type,faction,strength,rarity,text,flavor
"adrenaline-rush","Adrenaline Rush","Bronze","Neutral",NULL,"Common","Choose a non-Gold unit and keep it on the battlefield at the end of this round.","The Beast rushed at them, wildly, with fury in its eyes, immune to pain and any strikes the defenders could land. Nothing stood to stop it…"
"aelirenn","Aelirenn","Silver","Scoia'tael",3,"Epic","Destroy all Commando Neophyte units on your side of the battlefield. Remove 1 strength from all non-Gold units on your opponent's side of the battlefield for each.","Better to die standing than to live on bent knee."
"aeromancy","Aeromancy","Silver","Neutral",NULL,"Legendary","Create and play one of the following: Biting Frost, Impenetrable Fog or Torrential Rain.","The druid Vaedermakar controls the elements. He soothes storms into silence, musters destructive hail, summons lightning to turn foes into ash. So I advise you well… treat him with utmost respect."
"aglais","Aglaïs","Gold","Scoia'tael",7,"Legendary","Choose a non-Gold Special Card from either graveyard and play it.","Brokilon bleeds… and not even I can heal it."
"alzurs-thunder","Alzur's Thunder","Bronze","Neutral",NULL,"Common","Remove 6 strength from 1 non-Gold unit.","We stand not the slightest chance of incanting a spell so complex as Alzur's Thunder. It is claimed Alzur had a voice like a hunting horn and the diction of a master orator."
"ancient-foglet","Ancient Foglet","Bronze","Monsters",6,"Rare","Fog effects do not harm this unit, but instead add 1 to its strength at the start of your turn while present.","Many primal fears lurk in the hearts of men. The fear of the mist is well–founded…"
"arachas","Arachas","Bronze","Monsters",2,"Common","Play all copies of this unit from your deck.","Ugly – Nature's Way of saying ""stay away."""
"arachas-behemoth","Arachas Behemoth","Bronze","Monsters",6,"Rare","Spawn 1 Arachas unit whenever a friendly unit absorbs another unit's strength.","Like a cross between a crab, a spider… and a mountain."
"archgriffin","Archgriffin","Bronze","Monsters",5,"Common","Remove any Weather effects from this unit's row (on your side of the battlefield only) and set the strength of any affected units to its original value.","It's a griffin, just more… griffiny."
"avallach","Avallac'h","Gold","Monsters",6,"Legendary","Draw 2 card(s). Your opponent draws 1 card(s).","You humans have… unusual tastes."
"ballista","Ballista","Bronze","Northern-Realms",5,"Common","Remove 2 strength from an opposing non-Gold unit.","What crossbows want to be when they grow up."
"barclay-els","Barclay Els","Silver","Scoia'tael",5,"Epic","Add 1 strength to all your non-Gold Dwarf units, wherever they are.","Our mead smells rotten to ye, do it? Easy to fix – I'll break yer nose!"
"berserker","Berserker","Bronze","Skellige",4,"Common","Transform into a Bear upon entering the graveyard.","Now finish your soup, or a berserker'll come and swallow ye whole."
"birna-bran","Birna Bran","Gold","Skellige",9,"Epic","Draw 4 cards, keep 1 in your hand and discard the rest to your graveyard.","Skellige must have a strong king. No matter what it takes."
"biting-frost","Biting Frost","Bronze","Neutral",NULL,"Common","Set the strength of all non-Gold units on both Melee rows to 1.","Best thing about frost? Bodies of The Fallen don't rot so quickly."
"bloody-baron","Bloody Baron","Gold","Northern-Realms",6,"Legendary","Spawn a Botchling or a Lubberkin.","I've not been a good father, I know, but… perhaps it's not too late."
"blue-mountain-commando","Blue Mountain Commando","Bronze","Scoia'tael",4,"Rare","Choose a Bronze unit on your side of the battlefield. Return it to your hand and immediately play it again.","By the time we'd heard them, it was already too late…"
"blue-stripes-commando","Blue Stripes Commando","Bronze","Northern-Realms",5,"Common","Add 2 strength to all your other copies of this unit, wherever they are.","I'd do anything for Temeria. Mostly though, I kill for her."
"blue-stripes-scout","Blue Stripes Scout","Bronze","Northern-Realms",4,"Rare","Add 4 strength to 1 friendly non-Gold unit(s).","Blue Stripes and Scoia'tael are similar in one regard – hatred fuels both."
"blueboy-lugos","Blueboy Lugos","Silver","Skellige",4,"Epic","Create and play a Spectral Whale unit on a random row on your opponent's side of the battlefield.","I'm near ready to puke from boredom."
"borkh-three-jackdaws","Borkh Three Jackdaws","Gold","Neutral",9,"Legendary","After 3 turns, kill the strongest non-Gold unit(s) twice in a row.","Also calls himself Villentretenmerth… he's not the best at names."
"braenn","Braenn","Silver","Scoia'tael",5,"Epic","Discard a random Bronze card from your hand to your graveyard and draw a random Silver card.","Mona…? No… no. I'm Braenn. A daughter of Brokilon."
"brouver-hoog","Brouver Hoog","Leader","Scoia'tael",NULL,"Legendary","Choose a Silver card from your deck and play it.","That doddery dolt? Ye cannae even tell if he's alive or stuffed!"
"caranthir","Caranthir","Gold","Monsters",8,"Epic","Spawn Frost and spawn 2 Wild Hunt Hound unit(s).","A favorite son who chose a life of villainy."
"caretaker","Caretaker","Gold","Monsters",6,"Legendary","Resurrect a non-Gold unit from your opponent's graveyard.","There are more things in heaven and earth than all the world's philosopher's have dreamt."
"cerys","Cerys","Gold","Skellige",8,"Legendary","When sent to the graveyard, convert to Silver status.","They call me Sparrowhawk. Know why? Because I eat rats like you for breakfast."
"ciaran","Ciaran","Silver","Scoia'tael",4,"Epic","Play face down. Reveal at the end of the round. If the player on whose side this unit was played lost, move this unit to that player's hand.","The path to freedom is paved in blood, not ink."
"ciri","Ciri","Gold","Neutral",8,"Epic","Return to your hand if you lose the round.","I go wherever I please, whenever I please."
"clan-an-craite-raider","Clan an Craite Raider","Bronze","Skellige",4,"Common","When this unit is discarded, play it instead.","We are an Craite! What others buy with gold, we buy with our lifeblood."
"clan-an-craite-warrior","Clan an Craite Warrior","Bronze","Skellige",7,"Common","Remove 2 strength from this unit.","Our clan's bards will sing of my deeds long after you're dead and forgotten!"
"clan-brokvar-archer","Clan Brokvar Archer","Bronze","Skellige",3,"Common","Choose 3 non-Gold units on the battlefield and remove 1 strength from each. Immune to Rain effects.","So ye can hit a movin' target at two hundred paces? Me, too. In a storm."
"clan-brokvar-hunter","Clan Brokvar Hunter","Bronze","Skellige",4,"Rare","Choose a non-Gold unit on the battlefield and remove 3 strength from it.","Better believe we can hunt. Thing is, not much game on Undvik…"
"clan-dimun-pirate","Clan Dimun Pirate","Bronze","Skellige",6,"Common","Discard all copies of this unit from your deck to your graveyard. Immune to Fog effects.","Can see the fear in their eyes. Fear o' me… fear o' Clan Dimun!"
"clan-dimun-pirate-captain","Clan Dimun Pirate Captain","Bronze","Skellige",1,"Rare","Add 3 strength to this unit whenever you discard a unit. Immune to Fog effects.","Haul together, hoist the colors high!"
"clan-heymaey-skald","Clan Heymaey Skald","Bronze","Skellige",4,"Rare","Add 2 strength to all other non-Gold units on the row.","The deeds of Clan Heymaey will go down in history."
"clan-tordarroch-shieldsmith","Clan Tordarroch Shieldsmith","Bronze","Skellige",3,"Common","Choose a non-Gold unit on your side of the battlefield and add 4 strength to its original value.","Remember me words – a good shield can save yer life."
"clan-tuirseach-axeman","Clan Tuirseach Azeman","Bronze","Skellige",2,"Common","Add 2 strength to this unit each time another unit on your side of the battlefield has its strength reduced but is not destroyed.","Swords are for wenches. Get yourself an axe."
"clan-tuirseach-skirmishers","Clan Tuirseach Skirmishers","Bronze","Skellige",5,"Rare","When played from the graveyard, add 4 to this unit's original strength.","Friends we show heart, foes we show our axe. Remember that."
"clear-skies","Clear Skies","Bronze","Neutral",NULL,"Common","Remove all Weather and return all affected units to their base strength.","The sun's shinin', Dromle! The sun's shinin'! Maybe there's hope after all…"
"commanders-horn","Commander's Horn","Silver","Neutral",NULL,"Rare","Choose a row on your side of the battlefield and double the strength of all non-Gold units on it.","Plus one to morale, minus one to hearing."
"crach-an-craite","Crach an Craite","Leader","Skellige",NULL,"Legendary","Create and play 2 Clan an Craite Warrior units.","Nilfgaardians call 'im Tirth ys Muire, the Wild Boar o' the Sea. Use 'im to scare their kiddies!"
"crone-brewess","Crone: Brewess","Silver","Monsters",7,"Epic","Play all Crone units from your deck.","We'll cut you up, boy. A fine broth you will make."
"crone-weavess","Crone: Weavess","Silver","Monsters",7,"Epic","Play all Crone units from your deck.","I sense your pain. I see your fear."
"crone-whispess","Crone: Whispess","Silver","Monsters",7,"Epic","Play all Crone units from your deck.","I'd be your best – and last."
"dagon","Dagon","Leader","Monsters",NULL,"Legendary","Spawn Biting Frost, Impenetrable Fog or Torrential Rain.","That is not dead which can eternal lie, and with strange aeons even death may die."
"dandelion","Dandelion","Silver","Northern-Realms",1,"Epic","Spawn a Commander's Horn card.","Dandelion, you're a cynic, a lecher, a liar – and my best friend."
"decoy","Decoy","Silver","Neutral",NULL,"Legendary","Return a non-Gold unit on your side to your hand.","When you run out of peasants, decoys also make decent arrow fodder."
"dijkstra","Dijkstra","Gold","Northern-Realms",5,"Legendary","Convert all other Gold units to Silver. Add 1 strength to this unit for each unit converted.","Really believe you can dupe me with that tale you just pulled from your arse?"
"dimeritium-bomb","Dimeritium Bomb","Silver","Neutral",NULL,"Rare","Reset all non-Gold units to their base strength.","An important part of every Witch Hunter's kit. In one muted flash, it turns the most powerful sorcerer into pork jelly ripe for cutting."
"dol-blathanna-archer","Dol Blathanna Archer","Bronze","Scoia'tael",2,"Rare","Choose a non-Gold unit on your opponent's side of the battlefield and remove 5 strength from it.","Take another step, dh'oine. You'd look better with an arrow between your eyes."
"dol-blathanna-trapper","Dol Blathanna Trapper","Bronze","Scoia'tael",2,"Common","Play face down. Reveal when a non-Gold unit appears on the row and remove 5 strength from it and all other non-Gold units on the row (except this Dol Blathanna Trapper unit).","They track like hounds, run like deer and kill like heartless demons."
"donar-an-hindar","Donar an Hindar","Silver","Skellige",8,"Epic","Draw 1 card and discard 1 card from your deck to your graveyard.","I've gathered all the jarls together. Now make your case."
"draig-bondhu","Draig Bon-Dhu","Silver","Skellige",2,"Epic","Add 2 strength to all non-Gold units in your graveyard.","Hear ye now the tale of the heroic deeds of Clan an Craite."
"draug","Draug","Gold","Monsters",8,"Legendary","Destroy all units with 3 strength or lower.","Some men cannot admit defeat. Some keep fighting From Beyond the grave."
"drowner","Drowner","Bronze","Monsters",7,"Common",NULL,"Though the witchman lusts for gold, for the smiting of a drowner thou shalt give him but a silver penny, or three halfpence, at most."
"dun-banner-heavy-cavalry","Dun Banner Heavy Cavalry","Bronze","Northern-Realms",4,"Rare","After 2 turns, convert to Gold.","Always wondered – how the blazes do those lads handle nature's call…?"
"dun-banner-light-cavalry","Dun Banner Light Cavalry","Bronze","Northern-Realms",7,"Common",NULL,"Stay calm, everyone. And be alert. The true owners of those cloaks and beaver–skin caps might be elsewhere."
"dwarven-mercenary","Dwarven Mercenary","Bronze","Scoia'tael",2,"Common","Add 2 strength to this unit for each Dwarf unit already on your side of the battlefield.","The key's mixin' pleasure an' business – like smackin' foes and gettin' coin for it."
"dwarven-skirmisher","Dwarven Skirmisher","Bronze","Scoia'tael",4,"Common","Choose a non-Gold unit on your opponent's side of the battlefield and remove 3 strength from it. If it is not destroyed, add 2 strength to this Dwarven Skirmisher unit.", "Worked a pickaxe all me life. Battleaxe won't be any trouble."
"earth-elemental","Earth Elemental","Silver","Monsters",6,"Epic","When removed from the battlefield, create and play 2 Lesser Earth Elemental units.","How do you fight an Earth Elemental? You don't. You run. Fast as you can."
"eithne","Eithné","Leader","Scoia'tael",NULL,"Legendary","Choose any unit on your side of the battlefield. Return it to your hand and immediately play it again.","The dryad queen has eyes of molten silver, and a heart of cold–forged steel."
